perm	control_libs	n_compartments	GLMM_sig	Fisher_sig	Wilcox_sig	n_tested_glmm	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
88	CEC2|GEC2|MEC1	3	796	3088	0	16556	0.39095820799402	0.23500912988172	2.80987126510608e-249	0	2.54
89	CEC2|GEC2|MEC2	3	797	3113	0	14701	0.386116498368004	0.219947366454642	1.8024711889381e-257	0	2.78
90	CEC2|GEC2|MEC3	3	861	3030	0	14288	0.383386360843037	0.223132736252943	3.61992065575507e-240	0	2.78
91	CEC2|GEC2|MEC4	3	709	2764	0	14653	0.391737976892167	0.236685037108819	3.18927445658447e-220	0	2.92
92	CEC2|GEC2|MEC5	3	586	2531	0	14707	0.402607904085232	0.255188701559616	4.83625062372414e-186	0	2.6
93	CEC2|GEC3|GEC4	2	482	2594	0	13230	0.410438265252084	0.240872803754323	8.27924009636001e-157	0	2.2
94	CEC2|GEC3|GEC5	2	492	2602	0	13537	0.410502881919829	0.230689305648476	1.14231969494648e-158	0	2.64
95	CEC2|GEC3|MEC1	3	800	3019	0	16571	0.397852819837054	0.238554752682704	7.51729879061952e-239	0	2.67
96	CEC2|GEC3|MEC2	3	752	3033	0	14769	0.38664350659714	0.22231223490303	5.32076836657833e-254	0	2.69
97	CEC2|GEC3|MEC3	3	841	2994	0	14326	0.383630103510737	0.223464184246754	4.52394733165777e-238	0	2.65
98	CEC2|GEC3|MEC4	3	678	2683	0	14716	0.39763586594336	0.240773793313718	6.32087708285183e-203	0	2.79
99	CEC2|GEC3|MEC5	3	563	2451	0	14750	0.404614430820848	0.254286072017084	2.50783301413888e-178	0	2.81
100	CEC2|GEC4|GEC5	2	470	2587	0	13863	0.410396920558307	0.238166123955505	4.19878118448728e-162	0	2.52
101	CEC2|GEC4|MEC1	3	770	2983	0	16730	0.397447883030228	0.242987309777198	1.35519149009929e-221	0	2.85
102	CEC2|GEC4|MEC2	3	735	2955	0	15011	0.38993036552128	0.225200476268285	6.54349776610698e-230	0	2.74
103	CEC2|GEC4|MEC3	3	862	2950	0	14520	0.394361472326568	0.231365333764981	9.24733722209339e-226	0	2.73
104	CEC2|GEC4|MEC4	3	690	2702	0	14938	0.402666311019282	0.250307978901311	8.17527973497807e-196	0	2.78
105	CEC2|GEC4|MEC5	3	592	2381	0	14940	0.419245051480613	0.269370367781728	2.11619589897845e-162	0	2.7
