perm	labels	n_tested_glmm	GLMM_sig	Fisher_sig	Wilcox_sig	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
198	ddccccddcddc	19594	92	355	0	0.488083336325831	0.599326676182213	1.67694430424955e-12	0	2.38
199	ddccccddcdcd	19661	82	356	0	0.49217762234908	0.596487544658652	9.09968417159542e-07	0	2.23
200	ddccccddccdd	19697	72	334	0	0.491316591019562	0.597986564679757	8.37921670589673e-08	0	2.21
201	ddccccdcdddc	19667	81	359	0	0.48575013774321	0.599646073445574	4.40161222748682e-10	0	2.24
202	ddccccdcddcd	19692	106	355	0	0.492631974787167	0.600415341255583	6.97647843370254e-08	0	2.18
203	ddccccdcdcdd	19737	86	360	0	0.494851134450208	0.605833770871035	4.98049310320072e-07	0	2.27
204	ddccccdccddd	19620	132	488	0	0.474537570349325	0.587435534852829	2.7869940824101e-23	0	2.19
205	ddcccccddddc	19478	108	381	0	0.476143578630528	0.587675070028011	6.76460859996775e-24	0	2.18
206	ddcccccdddcd	19596	91	370	0	0.482322823410696	0.592147188816939	4.48133764024255e-14	0	2.28
207	ddcccccddcdd	19644	84	359	0	0.485616944932373	0.595423296049465	2.8858860909673e-09	0	2.43
208	ddcccccdcddd	19541	113	458	0	0.466726918326133	0.580384628931704	5.95424884332102e-32	0	2.21
209	ddccccccdddd	19456	151	512	0	0.457743659822821	0.574169484926698	1.22429993156887e-46	0	2.19
210	dcdddddccccc	19038	149	485	0	0.462754030404431	0.560812689893637	1.03723398541753e-36	0	2.25
211	dcddddcdcccc	19324	153	468	0	0.475987711839045	0.585899099697411	2.10477052290148e-24	0	2.2
212	dcddddccdccc	19297	125	454	0	0.475976139028351	0.582457751487814	5.89752528981649e-22	0	2.22
213	dcddddcccdcc	19476	125	408	0	0.474076254190368	0.583483427864491	7.71186618606797e-26	0	2.2
214	dcddddccccdc	19245	126	422	0	0.471988856064257	0.575589090541688	7.733260664647e-28	0	2.2
215	dcddddcccccd	19057	151	420	0	0.473274136733769	0.577330860737198	5.08269574312271e-32	0	2.16
216	dcdddcddcccc	19394	107	413	0	0.476634234370369	0.581345388738542	1.29299078068478e-25	0	2.19
217	dcdddcdcdccc	19497	79	390	0	0.482916914029334	0.585793632076511	2.15446456808506e-15	0	2.19
218	dcdddcdccdcc	19691	70	297	0	0.494640376787113	0.598849997310851	1.46916097871963e-07	0	2.22
219	dcdddcdcccdc	19585	59	311	0	0.485398734801242	0.588039628846462	2.44882932153038e-10	0	2.27
220	dcdddcdccccd	19473	83	311	0	0.487662401789098	0.590062111801242	5.694777919035e-13	0	2.24
221	dcdddccddccc	19556	88	429	0	0.48680913601611	0.594511251175759	9.70038785968161e-11	0	2.17
222	dcdddccdcdcc	19759	69	309	0	0.503616842867409	0.611228237230086	0.000423939224444684	0	2.22
223	dcdddccdccdc	19692	64	302	0	0.496857050786255	0.599947025111214	0.00140682168624288	0	2.25
224	dcdddccdcccd	19677	74	306	0	0.500454470038732	0.60646264380904	0.00126845150036928	0	2.21
225	dcdddcccddcc	19727	63	307	0	0.498681736871466	0.603834461916418	1.431426032257e-05	0	2.19
226	dcdddcccdcdc	19663	55	320	0	0.493491818575361	0.597629735955038	8.48178139659876e-05	0	2.26
227	dcdddcccdccd	19611	60	317	0	0.501375953375818	0.603875918860434	0.000333207860415526	0	2.42
228	dcdddccccddc	19688	89	439	0	0.469467594763727	0.581261270170437	5.14626945940867e-40	0	2.27
229	dcdddccccdcd	19620	97	384	0	0.479622511800624	0.586749990969187	5.73387297011319e-27	0	2.26
